YearMonth,Raw Conc.
2019-05-01,27.09050131926121
2019-06-01,29.573018080667595
2019-07-01,32.04484679665738
2019-08-01,27.263611859838274
2019-09-01,34.2018156424581
2019-10-01,46.65851351351352
2019-11-01,64.0375
2019-12-01,85.07967698519515
2020-01-01,73.71049798115747
2020-02-01,73.99281609195403
2020-03-01,43.54089673913043
2020-04-01,27.780594900849856
2020-05-01,23.734705075445813
2020-06-01,23.204450625869264
2020-07-01,21.573099415204677
2020-08-01,25.343373493975903
2020-09-01,26.76923076923077
2020-10-01,54.353191489361706
2020-11-01,92.69722222222222
2020-12-01,92.31989247311827
2021-01-01,110.82314939434725
2021-02-01,72.97466467958272
2021-03-01,48.831763122476445
2021-04-01,43.99305555555556
2021-05-01,30.198924731182796
2021-06-01,32.56050069541029
2021-07-01,27.028493894165535
2021-08-01,21.475100942126513
2021-09-01,29.088983050847457
2021-10-01,52.30362116991643
2021-11-01,121.51012145748987
2022-01-01,94.54352941176471
2022-02-01,62.34379671150972
2022-03-01,49.713315217391305
2022-04-01,36.27637444279346
2022-05-01,41.89150943396226
2022-06-01,41.3502538071066
2022-07-01,21.052269601100413
2022-08-01,26.254421768707484
2022-09-01,23.124128312412832
2022-10-01,37.41487603305785
2022-11-01,64.16503496503496
2022-12-01,99.52717391304348
2023-01-01,89.0329489291598
2023-02-01,52.409582689335394
2023-03-01,42.05563093622795
2023-04-01,23.41899441340782
2023-05-01,20.59005376344086
2023-06-01,24.01388888888889
2023-07-01,28.257801899592945
2023-08-01,22.422043010752688
2023-09-01,30.783625730994153
2023-10-01,37.64381720430107
2023-11-01,104.1798866855524
2023-12-01,97.33602150537635
2024-01-01,98.35537190082644
2024-02-01,61.87581699346405
2024-03-01,46.1628532974428
2024-04-01,30.63431542461005
2024-05-01,24.203980099502488
2024-06-01,27.17408256880734
2024-07-01,31.82234185733513
2024-08-01,21.200573065902578
2024-09-01,24.466275659824046
2024-10-01,38.15992647058823
2024-11-01,49.11219512195122
2025-01-01,94.71570247933884
2025-02-01,101.0
